,flick_pitch,flick_time,iteration,jump1_pitch,jump1_time,jump2_pitch,jump2_time,lead_distance,maxSpeed_action,minSpeed_action,result,start_x,timestamp
31,1.0,0.15,6.0,0.33333333333333326,0.05,-0.33333333333333337,0.22,1300.0,800.0,350.0,FAIL: NoTouch,2048,2020-12-21 07:26:19.704936
32,1.0,0.15,6.0,1.0,0.15000000000000002,-0.33333333333333337,0.12000000000000001,700.0,450.0,0.0,FAIL: NoTouch,-256,2020-12-21 07:26:39.634444
33,-0.33333333333333337,0.35,6.0,1.0,0.05,-0.33333333333333337,0.22,400.0,1150.0,700.0,FAIL: Timeout,256,2020-12-21 07:26:59.591959
34,1.0,0.35,6.0,-1.0,0.05,1.0,0.12000000000000001,1000.0,800.0,350.0,FAIL: NoTouch,0,2020-12-21 07:27:19.559944
35,1.0,0.15,7.0,1.0,0.25,-1.0,0.12000000000000001,1000.0,250.0,0.0,FAIL: NoTouch,-2048,2020-12-21 07:27:39.516646
36,-1.0,0.35,7.0,-1.0,0.05,-1.0,0.02,400.0,250.0,0.0,FAIL: Timeout,2048,2020-12-21 07:27:59.455033
37,-1.0,0.35,7.0,-1.0,0.25,-1.0,0.22,1000.0,600.0,350.0,PASS: Medium,-256,2020-12-21 07:28:13.355664
38,-0.33333333333333337,0.35,7.0,-1.0,0.05,-0.33333333333333337,0.22,1000.0,400.0,350.0,PASS: Medium,256,2020-12-21 07:28:27.201805
39,-1.0,0.15,7.0,-0.33333333333333337,0.25,0.33333333333333326,0.02,1300.0,1150.0,700.0,FAIL: NoTouch,0,2020-12-21 07:28:47.192827
40,-0.33333333333333337,0.15,8.0,1.0,0.25,-0.33333333333333337,0.02,1300.0,50.0,0.0,FAIL: Timeout,-2048,2020-12-21 07:29:07.160940
41,0.33333333333333326,0.15,8.0,0.33333333333333326,0.25,-1.0,0.12000000000000001,400.0,600.0,350.0,PASS: Slow,2048,2020-12-21 07:29:25.647897
42,1.0,0.15,8.0,-1.0,0.25,-0.33333333333333337,0.12000000000000001,1300.0,800.0,350.0,FAIL: NoTouch,-256,2020-12-21 07:29:45.644761
43,-0.33333333333333337,0.55,8.0,-0.33333333333333337,0.25,-0.33333333333333337,0.02,700.0,400.0,350.0,PASS: Medium,256,2020-12-21 07:29:59.898675
44,-0.33333333333333337,0.55,8.0,0.33333333333333326,0.15000000000000002,1.0,0.22,1000.0,600.0,350.0,FAIL: NoTouch,0,2020-12-21 07:30:19.905328
45,-1.0,0.55,9.0,1.0,0.05,1.0,0.02,1000.0,1150.0,700.0,FAIL: NoTouch,-2048,2020-12-21 07:30:39.870978
46,0.33333333333333326,0.55,9.0,-0.33333333333333337,0.25,-1.0,0.22,1300.0,450.0,0.0,FAIL: NoTouch,2048,2020-12-21 07:30:59.837847
47,1.0,0.55,9.0,0.33333333333333326,0.15000000000000002,-0.33333333333333337,0.22,700.0,1150.0,700.0,FAIL: NoTouch,-256,2020-12-21 07:31:19.797328
48,0.33333333333333326,0.55,9.0,-1.0,0.15000000000000002,1.0,0.12000000000000001,1000.0,950.0,700.0,FAIL: NoTouch,256,2020-12-21 07:31:39.768351
49,-0.33333333333333337,0.35,9.0,-1.0,0.25,0.33333333333333326,0.02,1300.0,600.0,350.0,FAIL: NoTouch,0,2020-12-21 07:31:59.718438
50,0.33333333333333326,0.55,10.0,-1.0,0.25,1.0,0.02,1300.0,50.0,0.0,FAIL: Timeout,-2048,2020-12-21 07:32:19.642984
51,-0.33333333333333337,0.15,10.0,-0.33333333333333337,0.05,0.33333333333333326,0.22,700.0,250.0,0.0,FAIL: NoTouch,2048,2020-12-21 07:32:39.608139
52,-0.33333333333333337,0.55,10.0,-1.0,0.15000000000000002,1.0,0.12000000000000001,1300.0,600.0,350.0,FAIL: NoTouch,-256,2020-12-21 07:32:59.626409
53,-0.33333333333333337,0.15,10.0,-1.0,0.25,-1.0,0.02,400.0,600.0,350.0,PASS: Medium,256,2020-12-21 07:33:12.465213
54,-1.0,0.35,10.0,0.33333333333333326,0.25,-0.33333333333333337,0.12000000000000001,1000.0,400.0,350.0,PASS: Medium,0,2020-12-21 07:33:27.076501
