,flick_pitch,flick_time,iteration,jump1_pitch,jump1_time,jump2_pitch,jump2_time,lead_distance,maxSpeed_action,minSpeed_action,result,timestamp
24,0.33333333333333326,0.35,24.0,-0.33333333333333337,0.25,-0.33333333333333337,0.22,700.0,600.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout, FAIL: Timeout, FAIL: NoTouch]",2020-12-19 05:37:01.595343
25,1.0,0.55,25.0,-1.0,0.05,-1.0,0.22,400.0,950.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout]",2020-12-19 05:38:12.145474
26,-1.0,0.35,26.0,-0.33333333333333337,0.15000000000000002,1.0,0.22,700.0,1150.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 05:39:22.699115
27,1.0,0.35,27.0,0.33333333333333326,0.05,-0.33333333333333337,0.02,400.0,400.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast]",2020-12-19 05:40:19.068495
28,-0.33333333333333337,0.15,28.0,1.0,0.15000000000000002,-0.33333333333333337,0.12000000000000001,1000.0,50.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:41:13.233131
29,-1.0,0.15,29.0,-0.33333333333333337,0.15000000000000002,-1.0,0.12000000000000001,700.0,450.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, PASS: Fast]",2020-12-19 05:42:03.974649
30,1.0,0.15,30.0,-0.33333333333333337,0.05,0.33333333333333326,0.22,1000.0,950.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 05:43:14.449353
31,0.33333333333333326,0.55,31.0,-1.0,0.15000000000000002,-1.0,0.02,400.0,50.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:44:09.523339
32,-1.0,0.35,32.0,0.33333333333333326,0.15000000000000002,-1.0,0.12000000000000001,400.0,50.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:45:04.694929
33,-0.33333333333333337,0.15,33.0,-1.0,0.05,-1.0,0.02,1000.0,250.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, PASS: Medium]",2020-12-19 05:45:55.702846
34,-0.33333333333333337,0.55,34.0,1.0,0.25,-1.0,0.02,1000.0,800.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, FAIL: Timeout, FAIL: Timeout]",2020-12-19 05:46:59.174316
35,1.0,0.15,35.0,-1.0,0.05,-1.0,0.22,400.0,50.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:47:54.157283
36,-0.33333333333333337,0.15,36.0,0.33333333333333326,0.25,-0.33333333333333337,0.12000000000000001,1000.0,50.0,0.0,"[FAIL: NoTouch, FAIL: Timeout, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:48:48.559365
